date,open,high,low,close,adj_close,volume
2014-01-24,47.799999,48.126400,46.905602,47.197201,46.215488,21675000
2014-01-27,47.242802,47.479599,45.528801,45.729599,44.778412,30075000
2014-01-28,46.175999,46.745602,46.006802,46.501202,45.533966,15812500
2014-01-29,46.000000,46.307999,45.318802,45.351601,44.408279,17122500
2014-01-30,45.806400,46.510399,45.670799,46.400002,45.434868,19790000
2014-01-31,45.737598,46.441601,45.566799,45.795601,44.843040,20267500
2014-02-03,45.753201,46.043598,44.290001,44.539600,43.613167,18415000
2014-02-04,44.717602,45.153198,44.287998,45.044800,44.107857,13825000
2014-02-05,44.929600,45.356800,44.155998,44.960400,44.025211,13307500
2014-02-06,45.136799,45.820400,45.039600,45.533600,44.586491,11305000
2014-02-07,46.374802,47.862400,46.301201,47.815601,46.821030,34835000
2014-02-10,47.639599,48.480000,47.481602,48.312801,47.307880,14607500
2014-02-11,48.279999,48.638000,48.042801,48.557201,47.547199,13605000
2014-02-12,48.917599,49.984001,48.557201,49.865601,48.828381,28645000
2014-02-13,49.659199,51.304001,49.568802,51.042801,49.981102,30557500
2014-02-14,51.043201,51.388000,50.765999,51.199200,50.134239,22665000
2014-02-18,51.344002,52.552799,51.040401,52.065601,50.982628,27782500
2014-02-19,52.080002,52.360001,50.847599,50.950401,49.890614,26640000
2014-02-20,51.363998,51.439999,50.161201,51.320000,50.252533,42977500
2014-02-21,53.115200,53.324799,51.320000,52.625999,51.531364,51830000
2014-02-24,52.680000,52.959999,52.165199,52.546799,51.453812,20637500
2014-02-25,52.675598,54.286400,52.605999,54.139599,53.013477,30380000
2014-02-26,54.340801,55.016399,53.680000,54.277599,53.148613,27425000
2014-02-27,54.285198,54.523602,54.000000,54.311600,53.181908,15745000
2014-02-28,54.273998,54.681999,53.576801,53.953602,52.831348,23160000
2014-03-03,53.237598,53.681198,52.840000,53.529598,52.416176,17535000
2014-03-04,53.968399,54.759998,53.880402,54.732800,53.594341,16772500
2014-03-05,54.638802,54.849201,54.259998,54.817200,53.676987,11922500
2014-03-06,54.830002,55.158401,54.444000,54.576000,53.440807,12112500
2014-03-07,54.902000,54.955601,54.161999,54.321602,53.191700,14062500
2014-03-10,54.277199,54.353600,53.312000,53.737598,52.619843,15760000
2014-03-11,53.907600,53.907600,52.944801,53.051998,51.948502,15702500
2014-03-12,52.918800,53.559200,52.619999,53.303200,52.194485,15847500
2014-03-13,53.519600,53.525600,51.785198,51.989201,50.907818,24180000
2014-03-14,51.799198,51.878799,50.681999,50.717201,49.662277,21625000
2014-03-17,50.926399,52.351601,50.680000,51.518398,50.446800,22515000
2014-03-18,51.807201,52.215599,51.627998,52.177200,51.091908,14167500
2014-03-19,52.307598,52.588001,51.102798,51.489201,50.418213,17710000
2014-03-20,51.426800,52.000000,50.886799,51.695599,50.620319,15905000
2014-03-21,52.679600,52.679600,50.705601,50.753601,49.697914,29250000
2014-03-24,51.000000,51.039600,48.476002,49.117199,48.095551,35917500
2014-03-25,49.283199,49.792000,48.131199,48.948002,47.929874,35467500
2014-03-26,49.182800,49.599998,47.542801,47.550800,46.561733,26645000
2014-03-27,47.550800,47.678799,46.256401,47.290001,46.306351,40752500
2014-03-28,47.567200,48.585201,47.304798,47.680401,46.688637,29120000
2014-03-31,48.218399,48.582802,47.610401,47.675598,46.683933,19417500
2014-04-01,48.128399,50.073601,48.044399,50.054798,49.013641,30265000
2014-04-02,50.247601,51.069599,49.980400,50.666401,49.612526,25450000
2014-04-03,50.599998,50.632801,48.960400,49.498001,48.468437,26530000
2014-04-04,49.919998,49.999599,47.118000,47.123199,46.143021,51180000
2014-04-07,46.700001,47.594398,45.520000,46.789200,45.815968,43820000
2014-04-08,47.006401,47.879601,46.720402,47.501598,46.513554,32577500
2014-04-09,47.894402,49.403599,47.414001,49.385201,48.357979,37187500
2014-04-10,49.268799,49.394001,46.963200,47.091999,46.112473,38960000
2014-04-11,46.400398,47.083599,45.898399,46.248402,45.286423,40267500
2014-04-14,46.730801,47.518799,46.109600,46.688400,45.717266,24412500
2014-04-15,46.878799,47.295200,45.653198,46.790001,45.816765,25720000
2014-04-16,47.099998,48.532001,46.967201,48.490002,47.481403,35312500
2014-04-17,48.229599,48.984798,48.119999,48.334400,47.329029,26492500
2014-04-21,48.504002,48.965599,48.174801,48.841599,47.825684,14302500
2014-04-22,49.070801,49.486000,48.806000,49.200001,48.176628,16745000
2014-04-23,49.269199,49.389999,48.548401,48.798000,47.782990,14547500
2014-04-24,49.279999,49.417999,48.148399,48.681198,47.668621,15282500
2014-04-25,48.480000,48.480000,46.160000,46.289600,45.326759,34897500
2014-04-28,46.320000,46.359600,44.290798,45.588799,44.640545,38472500
2014-04-29,45.903198,46.599998,45.327999,46.193600,45.232761,19700000
2014-04-30,45.808800,46.397598,45.510799,46.310001,45.346741,15542500
2014-05-01,46.556801,47.751202,46.255600,47.223999,46.241726,23235000
2014-05-02,47.543201,47.847599,46.820801,47.197201,46.215488,17310000
2014-05-05,46.806000,47.737598,46.400799,47.664398,46.672962,12340000
2014-05-06,47.608799,47.661598,46.662800,46.734402,45.762314,15015000
2014-05-07,46.920399,46.959999,44.976398,45.269600,44.327984,28877500
2014-05-08,43.864399,46.119202,43.490398,44.320000,43.398132,65462500
2014-05-09,44.624401,45.538399,44.460800,45.436401,44.491306,29817500
2014-05-12,45.758801,46.635601,45.720402,46.532799,45.564911,19440000
2014-05-13,46.543598,46.880001,46.299599,46.396400,45.431343,14845000
2014-05-14,46.342800,46.660801,45.646400,45.832401,44.879078,15960000
2014-05-15,45.717999,45.720001,44.725601,45.450001,44.504627,21480000
2014-05-16,45.450802,45.560001,44.854401,45.486401,44.540279,19767500
2014-05-19,45.270802,46.493999,45.157200,46.351601,45.387482,19447500
2014-05-20,46.456402,46.664799,45.741199,46.011200,45.054153,15912500
2014-05-21,46.344002,47.115200,45.972801,47.097599,46.117950,17157500
2014-05-22,47.080002,47.439999,46.877998,47.122398,46.142239,14005000
2014-05-23,47.164001,47.899200,47.008400,47.884800,46.888783,13185000
2014-05-27,48.246399,50.393600,48.246399,50.364399,49.316807,33717500
2014-05-28,50.259998,51.000000,49.841999,50.800800,49.744129,22370000
2014-05-29,50.829601,51.706402,50.639999,51.669201,50.594475,20262500
2014-05-30,51.693199,51.693199,50.762001,51.145199,50.081367,22652500
2014-06-02,51.240002,51.439999,50.409599,51.152000,50.088024,12990000
2014-06-03,50.859600,50.944801,50.250000,50.620399,49.567478,15645000
2014-06-04,50.439999,50.480000,49.785999,49.838799,48.802139,16867500
2014-06-05,50.094799,50.397999,49.825199,49.918400,48.880085,17162500
2014-06-06,50.175999,50.326401,49.363998,49.523201,48.493107,15795000
2014-06-09,49.641998,50.000000,49.145199,49.196800,48.173500,14767500
2014-06-10,49.200401,49.635601,48.758400,48.915199,47.897751,14705000
2014-06-11,48.560001,50.003601,48.521599,49.948799,48.909847,18695000
2014-06-12,49.972801,50.591999,48.880001,49.040001,48.019958,24145000
2014-06-13,48.997200,49.398800,47.465599,47.571999,46.582485,43250000
2014-06-16,47.655201,48.382000,47.320000,48.099201,47.098732,18787500
2014-06-17,48.102001,48.529202,47.480000,47.860401,46.864891,17187500
2014-06-18,48.014000,48.743999,47.516800,48.675201,47.662746,18050000
2014-06-19,48.832802,48.840801,47.980801,48.273201,47.269108,14507500
2014-06-20,48.365601,48.599602,47.840401,48.126801,47.125748,22555000
2014-06-23,48.004799,48.336399,47.801201,48.223999,47.220928,10530000
2014-06-24,48.279999,48.903599,47.959999,48.189201,47.186852,19122500
2014-06-25,48.061199,48.983200,47.959999,48.858002,47.841740,14805000
2014-06-26,49.130402,49.203201,48.549198,48.708000,47.694862,13880000
2014-06-27,48.440399,48.877998,48.218800,48.218800,47.215839,14170000
2014-06-30,48.208401,48.600399,48.099998,48.119999,47.119087,14465000
2014-07-01,48.708000,49.959999,48.669998,49.870800,48.833473,25125000
2014-07-02,50.045200,50.104401,49.334000,49.513599,48.483700,15440000
2014-07-03,49.841599,49.897598,49.522800,49.724800,48.690510,8212500
2014-07-07,49.703999,50.580002,49.575199,50.096001,49.053997,17142500
2014-07-08,49.675201,49.897202,48.326801,49.009201,47.989799,27807500
2014-07-09,49.259998,49.603600,49.004799,49.454800,48.426125,18812500
2014-07-10,48.473999,49.059200,48.362000,48.645199,47.633366,19137500
2014-07-11,48.905602,48.943199,48.473202,48.596802,47.585968,15247500
2014-07-14,48.860001,49.439999,48.620399,49.139599,48.117481,14752500
2014-07-15,49.248001,49.550400,48.766399,49.240002,48.215797,15572500
2014-07-16,49.668400,49.730400,48.919998,48.945999,47.927910,14432500
2014-07-17,48.740799,49.160000,47.880402,48.054798,47.055244,23317500
2014-07-18,48.245998,48.515598,47.995602,48.511200,47.502155,19887500
2014-07-21,48.462002,48.717602,48.122002,48.636799,47.625137,13395000
2014-07-22,48.953201,49.310001,48.672001,49.226398,48.202480,14297500
2014-07-23,49.144001,49.695999,49.144001,49.547199,48.516598,12917500
2014-07-24,49.373600,49.892399,49.130798,49.469200,48.440228,15545000
2014-07-25,49.425999,49.574001,48.971199,49.111198,48.089676,16565000
2014-07-28,49.119999,49.715199,48.949200,49.571602,48.540493,11160000
2014-07-29,49.827599,50.233601,49.694000,49.864399,48.827202,17532500
2014-07-30,50.152802,50.340401,49.996799,50.237999,49.193031,15642500
2014-07-31,49.940800,50.198799,49.458801,49.698002,48.664268,20550000
2014-08-01,49.880001,50.225201,49.466400,49.835999,48.799393,20147500
2014-08-04,49.902000,52.283600,49.861198,51.996799,50.915245,34190000
2014-08-05,51.815201,52.271198,50.781601,51.248402,50.182423,23835000
2014-08-06,51.000000,51.865601,50.740398,51.222801,50.157356,16547500
2014-08-07,52.124401,52.145199,51.175999,51.404400,50.335175,16875000
2014-08-08,51.584400,51.597198,50.861599,51.262402,50.196125,25740000
2014-08-11,51.273998,53.195999,50.981998,52.371201,51.281868,51280000
2014-08-12,52.488400,52.836800,51.524799,51.774399,50.697479,19855000
2014-08-13,52.096802,52.118801,51.368000,51.750000,50.673588,18205000
